uuid,timestamp,caller_id,call_type,duration
3DA5B7D0-9B09-427E-A9BD-6E101DFAC44D,2024-08-07T14:53:00.319552,,cellular,0
89D49C32-3AD9-42FF-9811-51C2E51A033B,2024-08-07T14:53:11.039107,,cellular,58.0
B599836F-21BB-4980-BB71-DE8147995068,2024-08-07T14:54:30.058388,,cellular,0
82EA109D-A242-4830-9D87-9C395CA669F0,2024-08-07T15:23:10.046736,,cellular,0
AB973549-67D8-4416-A8BD-176FAC459737,2024-08-07T15:24:49.073293,,cellular,0
8A28B63A-A494-4E88-921B-387CE4832ABE,2024-08-07T15:26:19.065414,,cellular,0
3B1D01C3-7825-4C33-8425-B1D00FDE29C9,2024-08-07T15:32:00.048598,,cellular,0
290B3B69-A006-4E5B-B2A6-36336DB7AB67,2024-08-07T15:32:52.051942,,cellular,0
0C971657-1A90-4BC6-90E6-1F379710CE1C,2024-08-07T15:37:20.070516,,cellular,0
6F86621C-9B78-4331-8A46-6318567D357C,2024-08-07T17:26:44.057239,,cellular,0
B91C4432-CC47-4289-861A-E685CCF8FC4F,2024-08-07T17:26:52.882026,,cellular,0
5891D040-0744-4E0F-BFAC-C9619576CAD2,2024-08-07T17:27:08.205602,,cellular,0
2768EB4C-496C-4BC0-8DF8-F05DCE240DF2,2024-08-08T00:08:46.078032,,cellular,0
AA74A560-8FE6-43B8-909A-B84C696A6248,2024-08-08T01:42:47.065556,,cellular,0
34DB95C7-1F9B-4E23-96A4-0D6DD70881FE,2024-08-08T02:43:42.072763,,cellular,0
06FE39ED-51D6-423D-8737-31D92F4C0FE0,2024-08-08T14:22:01.064661,,cellular,0
ED2876A2-13B3-4C7D-BB2A-E4FE574DDE0E,2024-08-08T14:24:48.079449,,cellular,0
1DA32729-274F-45B2-8CE9-34FEA1F7E952,2024-08-08T14:51:19.077419,,cellular,0
B6FAFE5C-BA05-4140-AE90-83F21EDA2BD2,2024-08-08T15:01:06.746161,,cellular,0
A885E830-DD98-45DB-81B7-1F503680505B,2024-08-08T15:34:44.067701,,cellular,0
57732EA3-19F1-47BA-94CA-797677368D16,2024-08-08T15:34:56.070671,,cellular,0
DF2BB90F-0DAE-4A9A-855E-DBB428B2F9CD,2024-08-08T15:45:13.067882,,cellular,0
EF2A0AA7-E71D-424A-B1E8-8E2152E1ACCC,2024-08-08T16:09:32.069257,,cellular,0
E3A908FE-DA79-41FE-82FA-ADEB06F3E2AB,2024-08-08T16:30:48.062740,,cellular,0
27BD8F45-3905-4D26-BE95-5E967BFCC1E2,2024-08-08T16:54:51.091939,,cellular,0
30DA402A-25F6-438C-BF6E-186405F7B23F,2024-08-08T17:06:32.109228,,cellular,0
7305804D-E1FE-40F8-A5F3-EE04CE21746D,2024-08-08T17:16:02.545929,,cellular,0
FD950CF0-ADB2-494F-BBA9-C83CF6038276,2024-08-08T18:17:32.056372,,cellular,0
5D1F0EF6-CA3D-4135-BC72-514767DD85F2,2024-08-08T18:35:40.065996,,cellular,0
D5AC0D9E-979E-48F0-9CDD-F280167C2E82,2024-08-08T22:02:06.144925,,cellular,0
9398CAF0-8DEF-49F2-9991-9CCABF898931,2024-08-08T22:30:42.068477,,cellular,0
09773DBF-0D21-4915-A164-5372AD757880,2024-08-08T23:04:04.149434,,cellular,0
7FF2A05F-21AB-4E3D-98FF-4E91758F5D95,2024-08-08T23:05:17.042404,,cellular,0
5CD554B0-7259-4522-9072-12A52425F556,2024-08-08T23:41:51.059759,,cellular,0
5F27E840-30DA-48A2-9DC8-D3D2E856A8F6,2024-08-09T01:06:47.057385,,cellular,0
DE20162A-3235-4D7D-8D87-09E14B843767,2024-08-09T13:22:52.052178,,cellular,0
1BF8C85B-F5F4-4CF7-94DE-658987A1B99F,2024-08-09T13:23:17.051869,,cellular,0
B70250CF-8639-4BEF-BF24-3562B5AAE3D8,2024-08-09T14:05:22.071178,,cellular,0
F4A7D6FE-AA98-4A45-9B95-FD0371E84B00,2024-08-09T14:05:43.077124,,cellular,0
A22BBD06-A612-4840-B3C1-1339394794B7,2024-08-09T14:50:16.077904,,cellular,0
28E23061-DB88-45B2-B868-2F927E3521AE,2024-08-09T17:41:04.786125,,cellular,0
52CCD0E4-F741-487E-800D-BDE8365A6D34,2024-08-09T18:04:49.073194,,cellular,0
D603B1D0-4326-4156-AC8B-2439C6891D37,2024-08-09T18:16:53.078895,,cellular,0
BB730A1E-9E41-4AB0-9A3D-9267249CBFCF,2024-08-09T18:23:46.075642,,cellular,0
13CF54D0-1836-45DA-B9BF-F69794DABFCC,2024-08-09T18:24:05.070586,,cellular,0
CD0E88EA-42E4-47ED-A8E0-B88C38FEEB09,2024-08-09T18:25:40.064507,,cellular,0
DBA87BBE-F694-40BD-9F5E-019B5ACAC3C0,2024-08-09T18:31:41.936349,,facetime,0
